,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,absences_days,mean_actual_hours,Non-Travel,Travel_Frequently,Travel_Rarely,Human Resources,Research & Development,Sales,Life Sciences,Marketing,Medical,Other,Technical Degree,Healthcare Representative,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Executive,Sales Representative,Divorced,Married,Single
13,14,1.0,2.0,2.0,2,3,47,1.0,1,1,1.0,1,57620,1.0,11,2,10.0,4,10,9,9,14,8.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,15,4.0,4.0,2.0,3,3,28,0.0,1,3,1.0,1,25920,1.0,14,0,5.0,2,5,0,4,8,5.46,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,16,3.0,4.0,4.0,3,3,37,0.0,1,3,1.0,2,53460,4.0,11,0,7.0,2,5,0,1,12,5.9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,17,4.0,3.0,4.0,2,3,21,0.0,3,2,1.0,1,42130,1.0,12,3,3.0,3,3,1,0,22,5.62,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,18,1.0,4.0,3.0,3,3,37,0.0,1,3,1.0,2,41270,2.0,13,1,15.0,2,5,0,2,3,10.37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,19,2.0,2.0,2.0,2,3,35,0.0,7,4,1.0,1,24380,7.0,16,0,10.0,5,7,6,2,17,6.05,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,20,1.0,1.0,3.0,3,3,38,0.0,8,3,0.0,1,68700,1.0,11,1,8.0,5,8,7,7,18,8.22,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,21,3.0,2.0,1.0,3,3,26,0.0,1,4,1.0,2,104470,1.0,18,0,6.0,3,6,1,4,17,6.64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,22,1.0,2.0,2.0,2,4,50,0.0,8,4,1.0,1,96670,3.0,23,0,28.0,2,10,1,6,16,5.21,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22,23,3.0,3.0,2.0,3,3,53,0.0,11,4,0.0,2,21480,3.0,11,0,21.0,2,5,1,3,17,7.42,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,24,2.0,3.0,3.0,1,3,42,0.0,4,4,1.0,1,89260,1.0,14,0,10.0,4,20,11,6,7,6.12,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,25,2.0,4.0,2.0,3,3,29,0.0,16,4,1.0,1,65130,1.0,11,1,10.0,2,10,0,9,18,6.21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,26,2.0,4.0,3.0,3,3,55,0.0,1,4,0.0,1,67990,3.0,11,0,12.0,2,10,0,8,8,8.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26,27,1.0,1.0,3.0,3,4,26,0.0,9,3,0.0,1,162910,1.0,22,0,5.0,3,5,3,3,10,10.08,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,28,4.0,4.0,3.0,3,3,37,0.0,5,1,1.0,1,27050,1.0,11,0,17.0,2,17,5,7,13,6.72,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,29,4.0,3.0,1.0,2,3,44,1.0,1,2,1.0,2,103330,3.0,14,1,19.0,2,1,0,0,6,10.21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29,30,4.0,4.0,3.0,2,3,38,0.0,2,3,0.0,1,44480,9.0,12,0,10.0,3,2,1,2,19,5.82,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,31,1.0,2.0,3.0,2,3,26,1.0,4,3,1.0,3,68540,2.0,11,0,5.0,5,3,0,2,11,9.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
31,32,4.0,4.0,3.0,2,3,28,0.0,7,3,1.0,1,96370,1.0,13,0,5.0,6,5,0,2,7,5.97,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,33,3.0,1.0,3.0,3,3,49,0.0,1,1,0.0,2,35910,9.0,13,0,22.0,2,3,1,2,15,9.43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33,34,3.0,2.0,3.0,3,3,36,0.0,5,3,1.0,3,54050,4.0,14,0,10.0,2,8,7,7,6,5.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,35,4.0,2.0,2.0,3,3,31,0.0,9,4,1.0,1,46840,1.0,16,1,2.0,4,2,2,2,9,5.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,36,4.0,4.0,3.0,3,3,26,1.0,8,3,1.0,2,157870,1.0,12,2,8.0,5,8,7,4,17,9.19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,37,2.0,4.0,2.0,3,3,37,0.0,9,1,1.0,1,15140,1.0,14,0,4.0,3,4,1,2,7,9.22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,38,3.0,2.0,4.0,3,3,42,0.0,2,2,1.0,3,29560,5.0,13,0,23.0,2,20,4,8,19,5.13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,39,3.0,3.0,3.0,2,3,18,1.0,1,4,1.0,1,23350,1.0,14,2,0.0,3,0,0,0,22,5.72,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39,40,3.0,2.0,2.0,2,3,35,0.0,20,2,1.0,1,51540,0.0,19,0,12.0,2,11,6,9,10,6.86,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,41,3.0,3.0,3.0,2,3,36,0.0,8,3,0.0,3,69620,4.0,12,2,4.0,2,1,0,0,5,6.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,42,4.0,2.0,3.0,2,3,51,0.0,2,3,1.0,2,56750,5.0,13,0,13.0,2,4,1,2,14,6.72,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,43,4.0,2.0,3.0,3,3,41,0.0,29,1,1.0,1,23790,1.0,12,0,22.0,6,22,0,4,7,6.28,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,44,4.0,3.0,3.0,3,3,18,0.0,7,3,1.0,1,38120,1.0,15,0,0.0,3,0,0,0,9,6.29,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
44,45,2.0,1.0,3.0,2,4,28,0.0,9,3,1.0,1,46480,0.0,23,2,9.0,2,8,0,7,5,6.62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,46,2.0,4.0,2.0,3,3,31,0.0,8,1,1.0,1,29360,4.0,12,1,10.0,2,8,7,7,9,6.49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,47,3.0,4.0,2.0,3,4,39,0.0,5,4,0.0,2,21050,0.0,20,0,19.0,3,18,3,7,14,6.73,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,48,2.0,2.0,3.0,3,4,36,0.0,5,4,1.0,1,85780,7.0,21,0,11.0,4,9,0,8,12,6.93,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
48,49,4.0,3.0,2.0,3,4,32,0.0,2,3,1.0,2,27060,1.0,21,1,13.0,4,13,4,8,22,5.96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,50,1.0,2.0,3.0,2,3,38,0.0,5,2,0.0,3,63840,3.0,19,2,19.0,4,10,0,1,21,5.9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50,51,4.0,3.0,3.0,2,3,58,0.0,2,3,1.0,2,39680,2.0,13,2,12.0,3,5,1,2,7,10.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,52,3.0,4.0,3.0,2,3,31,0.0,20,1,0.0,3,99070,0.0,13,1,6.0,3,5,0,3,12,8.24,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52,53,1.0,1.0,3.0,3,4,31,0.0,7,4,1.0,2,132250,3.0,21,1,9.0,2,2,1,0,10,6.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53,54,1.0,1.0,3.0,3,3,45,0.0,3,1,0.0,1,35400,1.0,13,0,24.0,6,24,9,11,13,6.54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,55,3.0,4.0,1.0,3,3,31,0.0,16,4,0.0,2,28040,0.0,19,2,3.0,0,2,2,2,5,7.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,56,4.0,2.0,3.0,3,3,33,0.0,9,3,1.0,4,193920,6.0,12,1,12.0,3,10,8,8,12,5.96,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,57,3.0,1.0,3.0,3,4,39,0.0,1,4,1.0,1,196650,1.0,22,1,21.0,6,21,11,10,4,10.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
57,58,3.0,4.0,3.0,3,3,43,0.0,7,4,1.0,4,24390,0.0,15,0,9.0,2,8,1,7,22,6.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
58,59,3.0,3.0,3.0,3,4,49,0.0,1,3,1.0,3,73140,7.0,22,0,25.0,2,7,0,7,6,9.21,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,60,3.0,2.0,2.0,3,3,52,1.0,7,1,0.0,2,47740,2.0,18,1,11.0,2,8,7,7,10,7.1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
60,61,3.0,2.0,2.0,3,4,27,0.0,15,4,1.0,3,39020,1.0,22,0,4.0,2,4,1,2,5,9.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,62,3.0,2.0,3.0,4,3,32,0.0,1,3,1.0,3,26620,1.0,11,1,13.0,6,13,11,9,10,9.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,63,4.0,3.0,3.0,4,3,27,0.0,13,2,0.0,4,28560,1.0,12,2,5.0,5,5,0,4,18,8.93,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
63,64,4.0,4.0,3.0,4,3,31,0.0,24,3,1.0,2,10810,4.0,11,3,13.0,4,7,1,7,6,5.92,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,65,1.0,4.0,2.0,3,3,32,0.0,7,3,1.0,2,24720,7.0,13,0,10.0,2,7,0,7,12,6.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,66,1.0,4.0,2.0,2,3,28,1.0,9,4,1.0,1,56730,5.0,14,1,5.0,4,3,2,2,2,10.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
66,67,4.0,4.0,3.0,3,3,30,0.0,13,3,0.0,4,41970,1.0,13,0,11.0,3,10,1,9,17,5.39,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
67,68,3.0,3.0,3.0,2,3,31,0.0,2,1,0.0,1,97130,1.0,17,0,10.0,5,10,8,9,22,5.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,69,3.0,4.0,3.0,3,3,39,0.0,19,4,0.0,1,20620,1.0,13,0,21.0,4,21,13,3,21,5.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
69,70,4.0,3.0,2.0,3,3,39,1.0,1,1,0.0,1,42840,4.0,17,1,12.0,0,1,0,0,3,9.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,71,2.0,4.0,2.0,3,3,33,0.0,4,2,1.0,4,47880,3.0,11,1,9.0,0,7,0,1,7,6.74,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71,72,4.0,3.0,3.0,4,4,47,0.0,4,3,0.0,2,59060,4.0,23,0,21.0,4,3,1,1,6,5.86,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,73,3.0,3.0,4.0,3,3,43,0.0,14,3,0.0,5,38860,1.0,17,2,9.0,2,9,0,0,14,5.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
73,74,3.0,2.0,3.0,3,3,27,0.0,2,3,1.0,1,168230,0.0,17,0,6.0,3,5,1,4,18,8.26,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
74,75,4.0,3.0,2.0,3,3,54,0.0,1,4,1.0,2,29330,3.0,12,2,20.0,2,4,0,3,17,5.3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
75,76,3.0,1.0,2.0,3,4,43,0.0,7,2,0.0,2,65000,8.0,23,0,10.0,3,1,0,0,11,6.46,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,77,4.0,4.0,3.0,3,3,45,0.0,3,1,0.0,1,171740,9.0,14,1,12.0,6,10,9,8,7,6.43,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
77,78,2.0,4.0,2.0,3,3,40,0.0,2,4,1.0,4,50330,2.0,14,2,6.0,6,4,0,2,18,8.72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,79,2.0,1.0,2.0,3,3,29,1.0,29,3,0.0,1,23070,1.0,13,1,7.0,0,7,0,7,19,9.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
79,80,2.0,4.0,3.0,3,4,29,0.0,8,3,1.0,3,25870,0.0,22,2,4.0,3,3,2,2,10,6.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
80,81,4.0,3.0,3.0,2,3,30,0.0,10,3,1.0,2,55070,1.0,12,2,10.0,2,10,1,2,17,6.63,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,82,2.0,2.0,3.0,2,3,27,0.0,11,2,1.0,1,43930,1.0,18,1,8.0,2,8,0,7,5,5.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,83,4.0,4.0,2.0,3,3,37,0.0,1,4,1.0,2,133480,7.0,14,0,8.0,4,6,0,4,13,5.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,84,3.0,4.0,3.0,3,3,38,0.0,28,4,1.0,1,65830,0.0,12,0,12.0,1,11,2,9,7,8.21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,85,3.0,4.0,3.0,3,3,31,0.0,6,3,0.0,3,81030,1.0,15,1,11.0,5,11,4,10,11,9.49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,86,4.0,2.0,3.0,3,3,29,0.0,3,4,1.0,3,39780,1.0,11,0,7.0,0,7,1,7,5,7.76,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
86,87,3.0,2.0,3.0,4,3,35,0.0,16,2,1.0,3,25440,0.0,13,1,17.0,3,16,0,13,16,6.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
